Employee_ID,Age,Gender,Education,Experience_Years,Department,Job_Level,Performance_Rating,Certifications,Overtime_Hours,Remote_Work,City,Company_Tenure,Projects_Completed,Skill_Score,Annual_Salary_LPA
EMP10040,57,Male,Diploma,21,IT,Senior,2,6,31,No,Mumbai,12,8,59,49.19
EMP10041,54,Female,Bachelor,18,Marketing,Senior,4,0,35,No,Chennai,7,30,57,54.82
EMP10042,53,Female,Bachelor,25,HR,Lead,4,8,28,No,Chennai,5,24,80,70.15
EMP10043,38,Female,Bachelor,6,Operations,Junior,4,1,45,Yes,Mumbai,6,8,67,32.84
EMP10044,45,Female,Bachelor,18,HR,Senior,2,3,4,No,Chennai,13,14,71,50.54
EMP10045,58,Female,PhD,20,Marketing,Senior,1,9,24,Yes,Chennai,15,1,72,59.74
EMP10046,48,Female,Master,16,Marketing,Senior,4,0,24,Yes,Delhi,10,22,93,62.66
EMP10047,58,Male,Diploma,19,HR,Senior,5,10,1,Yes,Hyderabad,2,21,77,57.37
EMP10048,34,Female,Bachelor,6,IT,Junior,4,5,21,No,Delhi,6,9,98,37.01
EMP10049,24,Male,PhD,2,HR,Junior,3,3,41,Yes,Delhi,2,25,91,41.63
EMP10050,36,Female,Master,9,Sales,Mid,2,7,42,Yes,Delhi,3,19,63,41.75
EMP10051,31,Female,Bachelor,0,HR,Junior,3,1,37,Yes,Mumbai,0,30,69,27.89
EMP10052,40,Female,Master,10,IT,Mid,5,1,50,No,Delhi,1,12,84,48.39
EMP10053,52,Female,Bachelor,17,Operations,Senior,1,6,23,No,Chennai,14,23,59,52.26
EMP10054,58,Female,Diploma,29,HR,Lead,3,5,54,No,Chennai,7,27,55,68.27
EMP10055,52,Female,Bachelor,19,Operations,Senior,3,2,31,No,Delhi,6,12,66,54.28
EMP10056,33,Male,Master,0,Marketing,Junior,1,3,46,No,Delhi,0,16,85,29.27
EMP10057,35,Female,Bachelor,8,Operations,Mid,4,3,19,No,Hyderabad,8,16,85,51.44
EMP10058,38,Female,Bachelor,9,Operations,Mid,3,4,14,Yes,Mumbai,3,24,62,43.8
EMP10059,51,Female,Bachelor,17,HR,Senior,3,9,48,No,Delhi,9,4,62,46.09
EMP10060,29,Female,Bachelor,8,IT,Mid,3,0,3,No,Chennai,8,23,58,42.26
EMP10061,42,Female,Master,15,Operations,Mid,2,0,16,Yes,Mumbai,15,4,54,40.67
EMP10062,57,Female,Master,27,Operations,Lead,3,1,15,Yes,Chennai,3,18,98,73.19
EMP10063,49,Male,Master,19,IT,Senior,3,9,27,Yes,Mumbai,9,19,89,74.02
EMP10064,26,Female,Master,0,Operations,Junior,2,3,11,No,Hyderabad,0,6,50,23.9
EMP10065,39,Male,Bachelor,11,Operations,Mid,3,7,4,Yes,Mumbai,7,30,66,45.89
EMP10066,30,Female,Bachelor,0,Marketing,Junior,1,0,10,No,Chennai,0,20,97,27.26
EMP10067,53,Female,Master,14,Operations,Mid,5,7,28,No,Delhi,2,20,52,52.42
EMP10068,57,Male,Master,17,Marketing,Senior,5,0,48,No,Mumbai,8,19,,61.05
EMP10069,48,Female,Master,13,HR,Mid,4,1,30,No,Chennai,11,14,71,43.48
EMP10070,39,Female,Bachelor,14,Marketing,Mid,4,8,2,Yes,Chennai,14,3,70,39.41
EMP10071,33,Male,Bachelor,8,Operations,Mid,5,5,39,Yes,Hyderabad,8,21,,50.02
EMP10072,52,Female,Master,12,Operations,Mid,1,0,40,No,Delhi,7,23,60,43.45
EMP10073,28,Female,Master,5,Sales,Junior,4,1,41,No,Chennai,4,16,95,41.6
EMP10074,36,Male,Diploma,4,Sales,Junior,4,8,9,No,Hyderabad,4,7,88,29.64
EMP10075,53,Female,Diploma,21,Marketing,Senior,3,0,18,No,Hyderabad,9,27,87,58.74
EMP10076,55,Male,Master,21,HR,Senior,4,7,59,No,Delhi,10,28,62,62.94
EMP10077,51,Male,Master,15,Operations,Mid,4,6,42,No,Delhi,4,16,52,50
EMP10078,49,Male,Bachelor,17,HR,Senior,1,8,58,Yes,Chennai,14,1,96,47.66
EMP10079,37,Female,Diploma,16,Operations,Senior,3,9,44,No,Hyderabad,12,21,55,53.47
EMP10080,52,Female,Diploma,13,IT,Mid,5,0,39,No,Delhi,2,8,90,50.27
EMP10081,27,Male,Bachelor,0,IT,Junior,4,2,44,No,Hyderabad,0,29,51,34.41
EMP10082,30,Male,Master,9,Marketing,Mid,2,8,26,Yes,Chennai,5,6,61,35.39
EMP10083,30,Male,Diploma,9,Marketing,Mid,2,7,40,No,Mumbai,8,15,66,38.34
EMP10084,43,Female,PhD,16,HR,Senior,5,4,40,No,Chennai,13,23,66,67.29
EMP10085,45,Male,Diploma,13,Marketing,Mid,5,5,36,No,Delhi,9,23,68,43.24
EMP10086,24,Female,Bachelor,0,HR,Junior,5,7,53,No,Mumbai,0,25,64,29.75
EMP10087,23,Male,Diploma,0,Sales,Junior,3,7,2,No,Mumbai,0,24,58,29.12
EMP10088,55,Female,Diploma,21,Marketing,Senior,3,8,32,No,Hyderabad,8,27,60,58.68
EMP10089,50,Female,Diploma,17,Operations,Senior,1,2,48,No,Delhi,7,28,93,59.31
EMP10090,21,Female,Master,0,Sales,Junior,3,8,7,Yes,Mumbai,0,12,93,44.41
EMP10091,60,Female,Diploma,25,Sales,Lead,5,5,58,No,Delhi,7,21,54,66.23
EMP10092,23,Male,Bachelor,0,Sales,Junior,3,7,7,No,Mumbai,0,8,84,32.25
EMP10093,27,Female,Bachelor,2,Marketing,Junior,4,9,26,Yes,Hyderabad,2,2,94,35.14
EMP10094,44,Male,Diploma,15,Marketing,Mid,5,10,22,Yes,Mumbai,1,13,67,47.43
EMP10095,59,Male,Bachelor,19,Operations,Senior,1,0,50,Yes,Mumbai,10,8,58,45.36
EMP10096,35,Male,Master,6,HR,Junior,3,2,50,Yes,Delhi,0,9,59,33.72
EMP10097,43,Male,Bachelor,14,Marketing,Mid,2,9,20,Yes,Delhi,0,6,66,37.66
EMP10098,44,Male,Master,14,Operations,Mid,5,9,6,No,Chennai,14,17,64,52.96
EMP10099,22,Male,Master,0,Marketing,Junior,1,7,54,Yes,Delhi,0,14,93,31.81
EMP10100,30,Female,Master,5,Operations,Junior,1,2,17,No,Delhi,5,13,88,31.97
EMP10101,28,Female,Bachelor,5,Marketing,Junior,5,3,27,No,Chennai,5,29,64,36.98
EMP10102,41,Female,Bachelor,16,IT,Senior,4,5,42,Yes,Chennai,8,12,59,57.31
EMP10103,44,Female,Bachelor,8,Marketing,Mid,2,8,3,Yes,Hyderabad,8,22,57,34.74
EMP10104,43,Female,Bachelor,15,IT,Mid,1,9,32,No,Hyderabad,6,5,92,50.04
EMP10105,38,Male,Master,12,Sales,Mid,5,3,51,Yes,Mumbai,12,28,85,66.11
EMP10106,40,Female,Bachelor,13,IT,Mid,3,5,0,Yes,Mumbai,5,28,59,52.56
EMP10107,50,Male,Diploma,21,HR,Senior,3,2,23,Yes,Delhi,9,24,70,56.25
EMP10108,38,Female,Bachelor,8,Operations,Mid,4,10,27,Yes,Hyderabad,8,20,78,48.18
EMP10109,39,Female,Diploma,7,IT,Junior,5,7,33,Yes,Mumbai,7,2,64,36.19
EMP10110,34,Female,Master,5,HR,Junior,2,4,18,Yes,Chennai,5,4,50,26.25
EMP10111,35,Male,Bachelor,14,Marketing,Mid,5,8,53,Yes,Hyderabad,11,3,75,40.75
EMP10112,57,Male,Diploma,24,HR,Lead,4,10,26,No,Hyderabad,9,4,75,60.81
EMP10113,27,Female,Diploma,1,Sales,Junior,2,6,37,Yes,Hyderabad,1,17,55,27.62
EMP10114,25,Female,Bachelor,2,HR,Junior,5,10,7,Yes,Delhi,2,29,99,36.72
EMP10115,33,Female,Master,4,Operations,Junior,2,9,9,No,Hyderabad,2,6,99,40.39
EMP10116,41,Female,PhD,9,Operations,Mid,2,7,4,Yes,Hyderabad,9,15,90,52.35
EMP10117,40,Male,Master,11,IT,Mid,4,7,2,No,Chennai,1,12,68,46.65
EMP10118,23,Female,Master,2,IT,Junior,4,9,41,No,Delhi,2,11,88,42.8
EMP10119,42,Female,Diploma,4,Operations,Junior,1,8,41,Yes,Hyderabad,4,2,65,26.21
EMP10120,39,Male,PhD,8,Sales,Mid,4,6,49,Yes,Hyderabad,8,22,88,56.16
EMP10121,45,Male,Diploma,11,Sales,Mid,3,4,46,No,Mumbai,4,11,55,37.71
EMP10122,26,Male,Master,5,Marketing,Junior,3,8,24,No,Delhi,5,27,58,39.1
EMP10123,32,Male,Bachelor,1,Sales,Junior,2,5,60,Yes,Delhi,1,7,64,24.4
EMP10124,60,Male,Master,21,IT,Senior,2,9,24,No,Hyderabad,4,6,61,57.99
EMP10125,36,Male,Bachelor,15,Marketing,Mid,4,9,18,Yes,Hyderabad,14,8,84,49.61
EMP10126,57,Female,Diploma,16,HR,Senior,4,7,49,Yes,Hyderabad,9,25,74,56.35
EMP10127,51,Male,Bachelor,26,HR,Lead,3,8,59,No,Chennai,3,23,83,74.45
EMP10128,30,Female,Diploma,0,Marketing,Junior,4,1,60,Yes,Chennai,0,27,78,26.95
EMP10129,36,Male,PhD,14,Sales,Mid,4,1,23,Yes,Mumbai,7,1,70,49.48
EMP10130,51,Male,Bachelor,19,HR,Senior,2,7,28,No,Delhi,0,29,55,55.57
EMP10131,36,Female,Bachelor,5,Marketing,Junior,3,1,3,Yes,Mumbai,5,14,90,34.42
EMP10132,39,Female,Bachelor,0,IT,Junior,4,0,39,No,Delhi,0,8,86,29.43
EMP10133,55,Male,Master,19,Sales,Senior,5,8,35,No,Delhi,0,13,80,59.86
EMP10134,25,Female,Bachelor,4,Sales,Junior,3,3,46,No,Mumbai,3,25,87,32.76
EMP10135,50,Female,Bachelor,15,HR,Mid,4,10,11,Yes,Mumbai,4,3,95,49.74
EMP10136,41,Male,Bachelor,17,IT,Senior,3,8,25,No,Hyderabad,15,9,52,49.49
EMP10137,44,Female,Diploma,18,Marketing,Senior,4,6,47,No,Hyderabad,14,29,74,56.93
EMP10138,54,Male,Master,15,Sales,Mid,3,1,46,Yes,Delhi,13,3,77,47.84
EMP10139,39,Female,Bachelor,11,IT,Mid,3,7,38,No,Chennai,11,6,94,45
EMP10140,24,Male,Diploma,2,HR,Junior,1,10,40,No,Delhi,2,12,82,24.84
EMP10141,36,Female,Diploma,9,Sales,Mid,3,5,24,No,Delhi,1,20,59,39.94
EMP10142,54,Male,Master,26,Marketing,Lead,3,6,20,No,Delhi,8,8,57,65.14
EMP10143,37,Male,Bachelor,16,IT,Senior,4,3,39,No,Mumbai,9,23,81,55.19
EMP10144,49,Male,Master,16,Sales,Senior,1,10,54,No,Mumbai,10,22,72,58.86
EMP10145,32,Male,Bachelor,7,Marketing,Junior,3,8,14,Yes,Hyderabad,3,7,100,35.73
EMP10146,44,Female,Diploma,12,Marketing,Mid,4,8,8,No,Chennai,2,3,69,37.67
EMP10147,25,Female,Bachelor,0,Operations,Junior,2,5,41,Yes,Mumbai,0,15,79,32.9
EMP10148,24,Female,Diploma,3,HR,Junior,1,8,9,No,Hyderabad,3,6,60,19.72
EMP10149,37,Female,Master,13,IT,Mid,2,10,35,Yes,Mumbai,8,5,90,53.12
EMP10150,60,Male,Bachelor,,Operations,Lead,5,5,53,No,Mumbai,1,27,51,76.34
EMP10151,47,Female,Master,12,Sales,Mid,5,10,1,No,Mumbai,12,29,90,55.92
EMP10152,46,Female,Master,17,HR,Senior,3,7,4,No,Mumbai,1,6,78,57.63
EMP10153,41,Male,Bachelor,11,Marketing,Mid,3,6,8,Yes,Hyderabad,11,17,85,44.7
EMP10154,30,Female,Bachelor,9,HR,Mid,1,0,18,No,Hyderabad,9,28,89,37.78
EMP10155,31,Female,Bachelor,8,Marketing,Mid,4,8,29,No,Mumbai,8,29,69,44.14
EMP10156,43,Female,Bachelor,12,IT,Mid,1,0,18,Yes,Chennai,12,20,91,48.25
EMP10157,37,Male,Bachelor,12,Sales,Mid,3,6,23,Yes,Chennai,1,13,53,42.09
EMP10158,56,Female,Bachelor,26,Sales,Lead,3,9,43,No,Mumbai,3,5,56,68.06
EMP10159,53,Female,PhD,21,Operations,Senior,4,8,2,No,Mumbai,1,2,58,64.47
EMP10160,53,Female,Master,20,Operations,Senior,2,5,59,No,Hyderabad,10,6,75,57.56
EMP10161,22,Female,PhD,0,IT,Junior,3,5,43,No,Hyderabad,0,14,87,43.64
EMP10162,75,Male,Master,18,Operations,Senior,5,3,46,No,Mumbai,1,19,80,70.68
EMP10163,36,Female,Bachelor,4,HR,Junior,1,9,60,No,Mumbai,3,7,51,21.21
EMP10164,60,Female,Diploma,28,Marketing,Lead,4,0,45,No,Hyderabad,4,17,63,70.42
EMP10165,50,Female,Master,19,HR,Senior,5,5,34,Yes,Hyderabad,11,22,99,67.24
EMP10166,35,Female,Bachelor,8,Sales,Mid,3,4,45,No,Hyderabad,6,23,95,42.06
EMP10167,55,Female,Bachelor,20,IT,Senior,4,6,52,No,Chennai,11,25,59,58.62
EMP10168,51,Female,Bachelor,21,Operations,Senior,2,3,52,Yes,Mumbai,8,30,85,62.11
EMP10169,54,Female,Master,16,IT,Senior,2,10,14,Yes,Delhi,1,4,76,56.64
EMP10170,31,Male,PhD,7,Sales,Junior,4,10,59,No,Hyderabad,7,16,91,47.46
EMP10171,26,Female,Diploma,0,HR,Junior,5,3,34,Yes,Chennai,0,30,61,28.28
EMP10172,32,Male,Diploma,,Sales,Junior,3,0,0,No,Chennai,7,19,88,32.28
EMP10173,55,Female,Bachelor,18,IT,Senior,5,7,56,No,Mumbai,4,28,82,67.4
EMP10174,37,Male,Bachelor,3,Marketing,Junior,2,0,47,No,Hyderabad,3,26,68,24.88
EMP10175,27,Male,Bachelor,0,HR,Junior,2,2,30,No,Hyderabad,0,30,65,25.71
EMP10176,40,Male,Bachelor,12,IT,Mid,5,9,0,No,Hyderabad,8,21,73,56.58
EMP10177,53,Male,Bachelor,22,HR,Senior,3,1,40,No,Mumbai,9,12,89,57.87
EMP10178,59,Male,PhD,22,Operations,Senior,3,6,44,Yes,Chennai,15,25,84,67.69
EMP10179,44,Male,Master,13,HR,Mid,1,9,7,Yes,Hyderabad,1,27,85,47.18
EMP10180,49,Female,PhD,18,Marketing,Senior,1,10,13,Yes,Chennai,15,3,82,56.12
EMP10181,24,Female,Bachelor,3,IT,Junior,5,7,43,Yes,Delhi,3,24,51,41.35
EMP10182,43,Male,Bachelor,12,HR,Mid,1,8,3,Yes,Chennai,2,30,80,43.91
EMP10183,45,Male,Master,17,Sales,Senior,4,6,24,Yes,Mumbai,2,22,92,63.1
EMP10184,46,Male,Diploma,15,Marketing,Mid,5,2,46,No,Chennai,7,27,50,43.54
EMP10185,36,Male,Bachelor,9,Marketing,Mid,4,5,9,Yes,Mumbai,8,7,96,42.08
EMP10186,27,Male,Bachelor,3,HR,Junior,5,0,28,Yes,Delhi,1,8,97,34.84
EMP10187,39,Male,Diploma,16,Operations,Senior,2,9,20,Yes,Chennai,10,8,69,51.93
EMP10188,24,Female,Master,3,IT,Junior,5,9,56,No,Chennai,3,21,93,42.75
EMP10189,41,Female,Bachelor,15,HR,Mid,4,6,9,No,Mumbai,9,13,61,45.6
EMP10190,24,Female,Bachelor,3,IT,Junior,5,6,26,No,Hyderabad,3,13,65,33.93
EMP10191,33,Male,PhD,3,Operations,Junior,1,4,24,Yes,Chennai,1,28,54,34.3
EMP10192,42,Female,Diploma,4,Operations,Junior,3,0,13,Yes,Chennai,4,24,57,26.87
EMP10193,56,Female,Bachelor,,Sales,Senior,3,4,24,No,Chennai,14,18,91,56.7
EMP10194,51,Male,Master,19,IT,Senior,3,3,23,No,Chennai,10,14,52,62.73
EMP10195,33,Female,Bachelor,11,Marketing,Mid,3,3,24,No,Chennai,7,16,85,40.52
EMP10196,43,Male,Master,9,IT,Mid,2,2,46,Yes,Delhi,9,6,84,45.98
EMP10197,35,Female,Bachelor,3,Operations,Junior,1,2,0,No,Chennai,3,17,79,34.54
EMP10198,55,Female,Master,25,Sales,Lead,5,6,0,Yes,Chennai,0,17,96,77.19
EMP10199,32,Female,PhD,0,Sales,Junior,1,1,33,No,Delhi,0,8,62,33.76
EMP10200,46,Male,Master,14,IT,Mid,4,9,15,Yes,Chennai,7,10,93,58.96
EMP10201,56,Male,Master,14,Marketing,Mid,4,0,40,No,Delhi,0,23,60,45.4
EMP10202,23,Male,Master,1,Sales,Junior,2,3,57,Yes,Mumbai,1,9,52,27.54
EMP10203,41,Female,Diploma,10,Sales,Mid,1,3,37,Yes,Mumbai,4,25,95,44.52
EMP10204,45,Male,Master,10,Sales,Mid,5,5,24,Yes,Delhi,4,26,94,52.87
EMP10205,25,Male,Master,2,Marketing,Junior,3,9,49,No,Mumbai,2,25,70,38.04
EMP10206,45,Female,PhD,17,IT,Senior,4,2,43,Yes,Hyderabad,12,3,99,63.98
EMP10207,30,Female,Bachelor,0,Sales,Junior,4,5,23,Yes,Mumbai,0,3,50,29.43
EMP10208,48,Male,Bachelor,17,IT,Senior,4,8,35,No,Chennai,13,4,51,50.9
EMP10209,47,Male,Master,21,HR,Senior,4,1,46,Yes,Hyderabad,7,19,83,61.8
EMP10210,52,Female,Master,23,IT,Senior,2,1,10,No,Hyderabad,13,9,76,62.4
EMP10211,52,Female,Bachelor,26,Marketing,Lead,5,9,12,No,Chennai,14,4,58,73.37
EMP10212,42,Male,Master,11,HR,Mid,4,5,27,No,Hyderabad,4,10,70,46.81
EMP10213,52,Female,Bachelor,21,Operations,Senior,5,3,20,Yes,Mumbai,12,9,100,69.21
EMP10214,56,Male,PhD,17,Marketing,Senior,1,7,60,No,Mumbai,6,15,68,61.16
EMP10215,36,Male,Bachelor,,Operations,Mid,3,10,9,No,Chennai,13,26,74,43.22
EMP10216,47,Male,Bachelor,10,HR,Mid,5,0,50,No,Mumbai,10,23,84,39.58
EMP10217,23,Female,Bachelor,0,IT,Junior,5,10,43,No,Mumbai,0,25,71,41.3
EMP10218,54,Female,Master,25,Operations,Lead,5,9,44,Yes,Hyderabad,7,15,73,77.87
EMP10219,51,Male,Bachelor,24,Sales,Lead,1,4,26,No,Mumbai,2,4,96,63.36
EMP10220,43,Female,Bachelor,6,IT,Junior,4,1,28,Yes,Hyderabad,6,11,54,33.83
EMP10221,31,Female,Diploma,7,HR,Junior,2,8,11,No,Mumbai,5,11,85,32.55
EMP10222,48,Female,Bachelor,7,HR,Junior,4,0,47,Yes,Hyderabad,6,15,87,35.08
EMP10223,25,Male,Master,0,Sales,Junior,5,1,51,No,Hyderabad,0,12,70,34.71
EMP10224,60,Male,PhD,24,Sales,Lead,4,9,7,Yes,Mumbai,11,12,79,77.73
EMP10225,36,Female,Bachelor,6,HR,Junior,3,1,11,No,Chennai,6,23,59,26.47
EMP10226,55,Male,Bachelor,20,Marketing,Senior,2,8,10,Yes,Hyderabad,15,10,58,54.97
EMP10227,52,Female,Bachelor,14,Marketing,Mid,2,3,52,No,Chennai,12,18,82,44.91
EMP10228,26,Female,Bachelor,0,Sales,Junior,5,0,50,Yes,Chennai,0,10,52,22.92
EMP10229,52,Female,Master,18,IT,Senior,5,8,7,No,Mumbai,3,9,99,65.64
EMP10230,27,Female,Diploma,1,IT,Junior,2,4,55,No,Delhi,1,15,66,24.41
EMP10231,36,Female,Bachelor,15,HR,Mid,2,9,44,Yes,Mumbai,11,28,95,51.16
EMP10232,57,Female,Bachelor,18,Sales,Senior,3,8,17,Yes,Mumbai,5,11,95,60.19
EMP10233,47,Male,Bachelor,15,Sales,Mid,1,4,55,Yes,Chennai,4,23,58,40.84
EMP10234,57,Male,Bachelor,24,Sales,Lead,3,10,26,No,Chennai,12,15,54,68.47
EMP10235,41,Female,Diploma,9,Operations,Mid,5,0,55,No,Mumbai,2,24,79,43.52
EMP10236,,Male,Master,6,Marketing,Junior,4,4,20,No,Delhi,6,11,85,31.64
EMP10237,50,Male,Diploma,11,Marketing,Mid,1,1,59,Yes,Mumbai,5,15,79,41.65
EMP10238,40,Female,Master,17,HR,Senior,2,4,5,Yes,Chennai,11,9,55,47.8
EMP10239,35,Female,Bachelor,10,Operations,Mid,4,10,5,Yes,Chennai,3,1,63,41.58
EMP10240,42,Male,Bachelor,21,IT,Senior,1,6,44,Yes,Hyderabad,4,16,54,58.86
EMP10241,40,Male,Bachelor,10,Operations,Mid,2,6,49,Yes,Mumbai,4,21,93,44.08
EMP10242,34,Male,Diploma,1,HR,Junior,2,6,39,Yes,Chennai,1,28,63,25.36
EMP10243,48,Male,Master,13,Operations,Mid,3,2,15,No,Delhi,8,21,55,41.98
EMP10244,40,Female,Master,8,HR,Mid,2,8,38,No,Chennai,6,24,75,38.41
EMP10245,52,Male,Bachelor,25,Operations,Lead,5,1,33,No,Hyderabad,0,12,70,73.84
EMP10246,32,Male,Bachelor,6,IT,Junior,4,1,1,No,Hyderabad,2,1,66,38.24
EMP10247,53,Male,Bachelor,19,Sales,Senior,4,6,44,Yes,Mumbai,12,3,90,56.42
EMP10248,30,Female,Master,9,HR,Mid,5,5,25,Yes,Mumbai,2,10,94,49.82
EMP10249,48,Male,Bachelor,12,HR,Mid,1,7,39,Yes,Mumbai,1,10,92,41.63
EMP10250,43,Male,Master,9,Sales,Mid,5,8,50,Yes,Delhi,8,6,73,42
EMP10251,48,Male,Master,19,Operations,Senior,3,8,4,No,Delhi,8,23,86,70.23
EMP10252,57,Male,Bachelor,16,Operations,Senior,2,5,10,Yes,Delhi,8,25,56,53.99
EMP10253,21,Male,Diploma,0,IT,Junior,2,0,30,No,Mumbai,0,13,59,23.99
EMP10254,47,Male,Master,13,IT,Mid,3,4,52,Yes,Mumbai,2,19,73,49.56
EMP10255,23,Female,Bachelor,1,Operations,Junior,4,1,56,No,Delhi,1,28,68,30.51
EMP10256,39,Female,Diploma,11,HR,Mid,5,4,47,Yes,Mumbai,7,15,73,42.4
EMP10257,47,Male,Diploma,14,IT,Mid,1,3,34,No,Hyderabad,11,21,94,44.58
EMP10258,54,Female,Bachelor,17,HR,Senior,2,6,31,No,Hyderabad,1,5,95,54.62
EMP10259,26,Male,Master,5,IT,Junior,5,1,32,No,Mumbai,4,21,75,40.82
EMP10260,37,Female,Bachelor,9,HR,Mid,3,6,44,Yes,Delhi,9,11,78,41.55
EMP10261,31,Female,Diploma,0,HR,Junior,4,7,20,No,Hyderabad,0,4,84,28.13
EMP10262,28,Male,Bachelor,1,Sales,Junior,1,2,51,Yes,Delhi,1,27,95,33.36
EMP10263,43,Male,Diploma,10,Marketing,Mid,4,8,3,Yes,Delhi,9,9,61,32.94
EMP10264,29,Female,Bachelor,0,IT,Junior,1,0,3,No,Delhi,0,5,62,23.94
EMP10265,25,Male,Bachelor,3,Marketing,Junior,2,10,28,Yes,Mumbai,3,3,71,26.24
EMP10266,48,Male,Bachelor,18,HR,Senior,4,7,1,No,Hyderabad,12,22,77,52.27
EMP10267,30,Female,Bachelor,5,Operations,Junior,1,9,39,No,Delhi,5,21,68,29.47
EMP10268,45,Male,Diploma,11,Sales,Mid,2,6,12,No,Chennai,7,21,84,41.64
EMP10269,57,Female,Master,18,IT,Senior,5,5,24,No,Delhi,8,6,51,57.9
EMP10270,51,Male,Master,22,Sales,Senior,5,5,49,Yes,Mumbai,7,6,56,59.67
EMP10271,45,Female,Diploma,17,IT,Senior,3,2,11,No,Mumbai,7,19,70,52.31
EMP10272,33,Male,Bachelor,9,Operations,Mid,4,8,19,Yes,Delhi,5,16,52,45.82
EMP10273,21,Male,Diploma,0,Sales,Junior,3,9,12,Yes,Delhi,0,11,95,28.26
EMP10274,30,Female,Master,,Sales,Junior,1,8,55,No,Hyderabad,7,3,73,33.14
EMP10275,31,Female,Bachelor,7,Operations,Junior,4,10,31,Yes,Chennai,7,6,95,37.94
